ID,Petición (Tiempo),Marca de tiempo Respuesta,Método,URL,Código,Razón,RTT,Tamaño de la Cabecera de Respuesta,Respuesta (Tamaño del cuerpo)
259,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080/2260220684821286830,404,Not Found,10,86,284
261,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080/api/3739224760209874782,404,Not Found,9,86,284
263,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080,404,Not Found,9,86,284
264,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080,404,Not Found,6,86,284
265,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080,404,Not Found,4,86,284
266,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080/WEB-INF/web.xml,404,Not Found,4,79,146
267,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080,404,Not Found,6,86,284
268,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080/WEB-INF/applicationContext.xml,404,Not Found,6,79,161
269,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080,404,Not Found,6,86,284
270,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080/WEB-INF/classes/04/177.class,404,Not Found,7,79,159
271,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080/WEB-INF/classes/web/xml.class,404,Not Found,4,79,160
272,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080/WEB-INF/classes/04/181.class,404,Not Found,4,79,159
273,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080/WEB-INF/classes/applicationContext/xml.class,404,Not Found,5,79,175
274,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080/api/clients?-s,200,OK,27,109,965
275,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080,404,Not Found,3,86,284
276,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,POST,http://localhost:8080/?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,404,Not Found,5,79,131
277,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,POST,http://localhost:8080/?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,404,Not Found,6,79,131
278,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,POST,http://localhost:8080/?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,404,Not Found,5,79,131
279,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,POST,http://localhost:8080/robots.txt?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,404,Not Found,3,79,141
280,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,POST,http://localhost:8080/robots.txt?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,404,Not Found,13,79,141
281,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,POST,http://localhost:8080/?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,404,Not Found,20,79,131
282,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,POST,http://localhost:8080/sitemap.xml?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,404,Not Found,19,79,142
283,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,POST,http://localhost:8080/api?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,404,Not Found,29,79,134
284,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,POST,http://localhost:8080/api?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,404,Not Found,8,79,134
285,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,POST,http://localhost:8080/api/?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,404,Not Found,30,79,135
286,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,POST,http://localhost:8080/sitemap.xml?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,404,Not Found,12,79,142
287,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,POST,http://localhost:8080/api/?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,404,Not Found,5,79,135
288,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,POST,http://localhost:8080/api/clients?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,405,Method Not Allowed,59,137,109
289,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,POST,http://localhost:8080/api/clients?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,405,Method Not Allowed,9,137,109
290,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080,404,Not Found,5,86,284
291,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080,404,Not Found,7,86,284
292,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080,404,Not Found,6,86,284
293,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080,404,Not Found,5,86,284
294,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080,404,Not Found,5,86,284
295,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080,404,Not Found,7,86,284
296,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080/api,404,Not Found,11,86,284
297,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080/,404,Not Found,15,86,284
298,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080/api/,404,Not Found,10,86,284
299,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080/sitemap.xml,404,Not Found,3,79,142
300,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080/robots.txt,404,Not Found,3,79,141
301,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080/api/clients,200,OK,28,109,965
302,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080,404,Not Found,5,86,284
303,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080,404,Not Found,4,86,284
304,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080,404,Not Found,6,86,284
305,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080,404,Not Found,4,86,284
306,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080,404,Not Found,3,86,284
307,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080,404,Not Found,5,86,284
308,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080,404,Not Found,3,86,284
309,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080,404,Not Found,4,86,284
310,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080,404,Not Found,2,86,284
311,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080,404,Not Found,2,86,284
312,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080,404,Not Found,3,86,284
313,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080?class.module.classLoader.DefaultAssertionStatus=nonsense,404,Not Found,6,86,284
314,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080/?class.module.classLoader.DefaultAssertionStatus=nonsense,404,Not Found,6,86,284
315,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080/api/?class.module.classLoader.DefaultAssertionStatus=nonsense,404,Not Found,4,86,284
316,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,POST,http://localhost:8080,404,Not Found,5,86,284
317,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,POST,http://localhost:8080/,404,Not Found,3,86,284
318,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,POST,http://localhost:8080/api/,404,Not Found,4,86,284
319,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080/sitemap.xml?class.module.classLoader.DefaultAssertionStatus=nonsense,404,Not Found,8,79,142
320,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080/api?class.module.classLoader.DefaultAssertionStatus=nonsense,404,Not Found,9,86,284
321,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,POST,http://localhost:8080/sitemap.xml,404,Not Found,5,79,142
322,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080/robots.txt?class.module.classLoader.DefaultAssertionStatus=nonsense,404,Not Found,17,79,141
323,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,POST,http://localhost:8080/api,404,Not Found,5,86,284
324,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,POST,http://localhost:8080/robots.txt,404,Not Found,8,79,141
325,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080/api/clients?class.module.classLoader.DefaultAssertionStatus=nonsense,200,OK,38,109,965
326,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,POST,http://localhost:8080/api/clients,405,Method Not Allowed,40,169,284
327,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080,404,Not Found,4,86,284
328,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080,404,Not Found,4,86,284
329,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080,404,Not Found,6,86,284
330,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080,404,Not Found,4,86,284
331,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080,404,Not Found,6,86,284
332,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080,404,Not Found,5,86,284
333,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:05 PET 2024,GET,http://localhost:8080/latest/meta-data/,404,Not Found,9,86,284
334,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:05 PET 2024,GET,http://localhost:8080,404,Not Found,11,86,284
335,Thu Aug 01 23:38:05 PET 2024,Thu Aug 01 23:38:05 PET 2024,GET,http://localhost:8080/latest/meta-data/,404,Not Found,21,86,284
336,Thu Aug 01 23:38:05 PET 2024,Thu Aug 01 23:38:05 PET 2024,GET,http://localhost:8080/latest/meta-data/,404,Not Found,7,86,284
337,Thu Aug 01 23:38:05 PET 2024,Thu Aug 01 23:38:05 PET 2024,GET,http://localhost:8080/latest/meta-data/,404,Not Found,5,86,284
338,Thu Aug 01 23:38:05 PET 2024,Thu Aug 01 23:38:05 PET 2024,GET,http://localhost:8080,404,Not Found,6,86,284
339,Thu Aug 01 23:38:05 PET 2024,Thu Aug 01 23:38:05 PET 2024,GET,http://localhost:8080,404,Not Found,4,86,284
340,Thu Aug 01 23:38:05 PET 2024,Thu Aug 01 23:38:05 PET 2024,GET,http://localhost:8080/api/,404,Not Found,6,86,284
341,Thu Aug 01 23:38:05 PET 2024,Thu Aug 01 23:38:05 PET 2024,GET,http://localhost:8080/api/,404,Not Found,6,86,284
342,Thu Aug 01 23:38:05 PET 2024,Thu Aug 01 23:38:05 PET 2024,GET,http://localhost:8080/,404,Not Found,8,86,284
343,Thu Aug 01 23:38:05 PET 2024,Thu Aug 01 23:38:05 PET 2024,GET,http://localhost:8080/sitemap.xml/,404,Not Found,3,79,143
344,Thu Aug 01 23:38:05 PET 2024,Thu Aug 01 23:38:05 PET 2024,GET,http://localhost:8080/,404,Not Found,3,86,284
345,Thu Aug 01 23:38:05 PET 2024,Thu Aug 01 23:38:05 PET 2024,GET,http://localhost:8080/robots.txt/,404,Not Found,7,79,142
346,Thu Aug 01 23:38:05 PET 2024,Thu Aug 01 23:38:05 PET 2024,GET,http://localhost:8080/api/clients/,200,OK,29,109,965
347,Thu Aug 01 23:38:05 PET 2024,Thu Aug 01 23:38:05 PET 2024,GET,http://localhost:8080,404,Not Found,4,86,284
348,Thu Aug 01 23:38:05 PET 2024,Thu Aug 01 23:38:05 PET 2024,GET,http://localhost:8080,404,Not Found,3,86,284
349,Thu Aug 01 23:38:05 PET 2024,Thu Aug 01 23:38:05 PET 2024,GET,http://localhost:8080,404,Not Found,4,86,284
350,Thu Aug 01 23:38:05 PET 2024,Thu Aug 01 23:38:05 PET 2024,GET,http://localhost:8080,404,Not Found,5,86,284
351,Thu Aug 01 23:38:05 PET 2024,Thu Aug 01 23:38:05 PET 2024,GET,http://localhost:8080,404,Not Found,5,86,284
352,Thu Aug 01 23:38:05 PET 2024,Thu Aug 01 23:38:05 PET 2024,GET,http://localhost:8080/elmah.axd,404,Not Found,3,86,284
353,Thu Aug 01 23:38:05 PET 2024,Thu Aug 01 23:38:05 PET 2024,GET,http://localhost:8080,404,Not Found,6,86,284
354,Thu Aug 01 23:38:05 PET 2024,Thu Aug 01 23:38:05 PET 2024,GET,http://localhost:8080/api/trace.axd,404,Not Found,5,86,284
355,Thu Aug 01 23:38:05 PET 2024,Thu Aug 01 23:38:05 PET 2024,GET,http://localhost:8080/trace.axd,404,Not Found,12,86,284
356,Thu Aug 01 23:38:05 PET 2024,Thu Aug 01 23:38:05 PET 2024,GET,http://localhost:8080,404,Not Found,5,86,284
357,Thu Aug 01 23:38:05 PET 2024,Thu Aug 01 23:38:05 PET 2024,GET,http://localhost:8080/.htaccess,404,Not Found,4,86,284
358,Thu Aug 01 23:38:05 PET 2024,Thu Aug 01 23:38:05 PET 2024,GET,http://localhost:8080/api/.htaccess,404,Not Found,5,86,284
359,Thu Aug 01 23:38:05 PET 2024,Thu Aug 01 23:38:05 PET 2024,GET,http://localhost:8080,404,Not Found,4,86,284
360,Thu Aug 01 23:38:05 PET 2024,Thu Aug 01 23:38:05 PET 2024,GET,http://localhost:8080/.env,404,Not Found,5,86,284
361,Thu Aug 01 23:38:05 PET 2024,Thu Aug 01 23:38:05 PET 2024,GET,http://localhost:8080/api/.env,404,Not Found,5,86,284
362,Thu Aug 01 23:38:05 PET 2024,Thu Aug 01 23:38:05 PET 2024,GET,http://localhost:8080,404,Not Found,4,86,284
363,Thu Aug 01 23:38:05 PET 2024,Thu Aug 01 23:38:05 PET 2024,GET,http://localhost:8080,404,Not Found,8,86,284
364,Thu Aug 01 23:38:05 PET 2024,Thu Aug 01 23:38:05 PET 2024,GET,http://localhost:8080/lfm.php,404,Not Found,7,86,284
365,Thu Aug 01 23:38:05 PET 2024,Thu Aug 01 23:38:05 PET 2024,GET,http://localhost:8080/.idea/WebServers.xml,404,Not Found,5,86,284
366,Thu Aug 01 23:38:05 PET 2024,Thu Aug 01 23:38:05 PET 2024,GET,http://localhost:8080,404,Not Found,4,86,284
367,Thu Aug 01 23:38:05 PET 2024,Thu Aug 01 23:38:05 PET 2024,GET,http://localhost:8080/config/databases.yml,404,Not Found,7,86,284
368,Thu Aug 01 23:38:05 PET 2024,Thu Aug 01 23:38:05 PET 2024,GET,http://localhost:8080/actuator/health,404,Not Found,10,86,284
369,Thu Aug 01 23:38:05 PET 2024,Thu Aug 01 23:38:05 PET 2024,GET,http://localhost:8080/config/database.yml,404,Not Found,5,86,284
370,Thu Aug 01 23:38:05 PET 2024,Thu Aug 01 23:38:05 PET 2024,GET,http://localhost:8080/actuator/health,404,Not Found,5,86,284
371,Thu Aug 01 23:38:05 PET 2024,Thu Aug 01 23:38:05 PET 2024,GET,http://localhost:8080/.git/config,404,Not Found,4,86,284
372,Thu Aug 01 23:38:05 PET 2024,Thu Aug 01 23:38:05 PET 2024,GET,http://localhost:8080/.svn/entries,404,Not Found,5,86,284
373,Thu Aug 01 23:38:05 PET 2024,Thu Aug 01 23:38:05 PET 2024,GET,http://localhost:8080/.svn/wc.db,404,Not Found,2,86,284
374,Thu Aug 01 23:38:05 PET 2024,Thu Aug 01 23:38:05 PET 2024,GET,http://localhost:8080/CVS/root,404,Not Found,3,86,284
375,Thu Aug 01 23:38:05 PET 2024,Thu Aug 01 23:38:05 PET 2024,GET,http://localhost:8080/server-status,404,Not Found,4,86,284
376,Thu Aug 01 23:38:05 PET 2024,Thu Aug 01 23:38:05 PET 2024,GET,http://localhost:8080/core,404,Not Found,3,86,284
